date,Confirmed,Deaths,Recovered,Latitude,Longitude,FIPS,Lat,Long_,Active,new_Confirmed,new_Recovered,new_Deaths,p_new_Confirmed,p_new_Recovered,p_new_Deaths
2020-01-31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-03,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-04,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-07,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,,
2020-02-08,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-09,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-13,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-15,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-17,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-18,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-19,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-20,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-21,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.85,,1.0
2020-02-22,62.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,1.0,0.6774193548387096,1.0,0.5
2020-02-23,155.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.6,0.5,0.3333333333333333
2020-02-24,229.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,-1.0,4.0,0.3231441048034934,-1.0,0.5714285714285714
2020-02-25,322.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,3.0,0.2888198757763975,0.0,0.3
2020-02-26,453.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,2.0,2.0,0.2891832229580574,0.6666666666666666,0.16666666666666666
2020-02-27,655.0,17.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,42.0,5.0,0.3083969465648855,0.9333333333333333,0.29411764705882354
2020-02-28,888.0,21.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,1.0,4.0,0.26238738738738737,0.021739130434782608,0.19047619047619047
2020-02-29,1128.0,29.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,8.0,0.2127659574468085,0.0,0.27586206896551724
2020-03-01,1694.0,34.0,83.0,43.0,12.0,0.0,0.0,0.0,0.0,566.0,37.0,5.0,0.33412042502951594,0.4457831325301205,0.14705882352941177
2020-03-02,2036.0,52.0,149.0,43.0,12.0,0.0,0.0,0.0,0.0,342.0,66.0,18.0,0.16797642436149313,0.4429530201342282,0.34615384615384615
2020-03-03,2502.0,79.0,160.0,43.0,12.0,0.0,0.0,0.0,0.0,466.0,11.0,27.0,0.18625099920063948,0.06875,0.34177215189873417
2020-03-04,3089.0,107.0,276.0,43.0,12.0,0.0,0.0,0.0,0.0,587.0,116.0,28.0,0.1900291356426028,0.42028985507246375,0.2616822429906542
2020-03-05,3858.0,148.0,414.0,43.0,12.0,0.0,0.0,0.0,0.0,769.0,138.0,41.0,0.1993260756868844,0.3333333333333333,0.27702702702702703
2020-03-06,4636.0,197.0,523.0,43.0,12.0,0.0,0.0,0.0,0.0,778.0,109.0,49.0,0.16781708369283865,0.2084130019120459,0.24873096446700507
2020-03-07,5883.0,233.0,589.0,43.0,12.0,0.0,0.0,0.0,0.0,1247.0,66.0,36.0,0.21196668366479687,0.11205432937181664,0.15450643776824036
2020-03-08,7375.0,366.0,622.0,43.0,12.0,0.0,0.0,0.0,0.0,1492.0,33.0,133.0,0.20230508474576273,0.05305466237942122,0.3633879781420765
2020-03-09,9172.0,463.0,724.0,43.0,12.0,0.0,0.0,0.0,0.0,1797.0,102.0,97.0,0.19592237243785435,0.1408839779005525,0.20950323974082075
2020-03-10,10149.0,631.0,724.0,43.0,12.0,0.0,0.0,0.0,0.0,977.0,0.0,168.0,0.09626564193516603,0.0,0.2662440570522979
2020-03-11,12462.0,827.0,1045.0,43.0,12.0,0.0,0.0,0.0,0.0,2313.0,321.0,196.0,0.18560423688011554,0.307177033492823,0.2370012091898428
2020-03-12,12463.0,827.0,1045.0,43.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.023750300890636e-05,0.0,0.0
2020-03-13,17660.0,1266.0,1439.0,41.8719,12.5674,0.0,0.0,0.0,0.0,5197.0,394.0,439.0,0.29428086070215176,0.2738012508686588,0.3467614533965245
2020-03-14,21157.0,1441.0,1966.0,41.8719,12.5674,0.0,0.0,0.0,0.0,3497.0,527.0,175.0,0.1652880843219738,0.26805696846388605,0.12144344205412907
2020-03-15,24747.0,1809.0,2335.0,41.8719,12.5674,0.0,0.0,0.0,0.0,3590.0,369.0,368.0,0.14506808906130036,0.15802997858672377,0.20342730790491984
2020-03-16,27980.0,2158.0,2749.0,41.8719,12.5674,0.0,0.0,0.0,0.0,3233.0,414.0,349.0,0.11554681915654039,0.1506002182611859,0.16172381835032437
2020-03-17,31506.0,2503.0,2941.0,41.8719,12.5674,0.0,0.0,0.0,0.0,3526.0,192.0,345.0,0.11191519075731607,0.06528391703502211,0.1378345984818218
2020-03-18,35713.0,2978.0,4025.0,41.8719,12.5674,0.0,0.0,0.0,0.0,4207.0,1084.0,475.0,0.11780024080866912,0.26931677018633543,0.15950302216252518
2020-03-19,41035.0,3405.0,4440.0,41.8719,12.5674,0.0,0.0,0.0,0.0,5322.0,415.0,427.0,0.12969416351894725,0.09346846846846847,0.12540381791483113
2020-03-20,47021.0,4032.0,4440.0,41.8719,12.5674,0.0,0.0,0.0,0.0,5986.0,0.0,627.0,0.12730482125007975,0.0,0.15550595238095238
2020-03-21,53578.0,4825.0,6072.0,41.8719,12.5674,0.0,0.0,0.0,0.0,6557.0,1632.0,793.0,0.12238232110194483,0.26877470355731226,0.16435233160621762
2020-03-22,59138.0,5476.0,7024.0,0.0,0.0,0.0,41.87194,12.56738,46638.0,5560.0,952.0,651.0,0.09401738307010721,0.13553530751708429,0.11888239590942294
2020-03-23,63927.0,6077.0,7432.0,0.0,0.0,0.0,41.87194,12.56738,50418.0,4789.0,408.0,601.0,0.07491357329453908,0.05489773950484392,0.0988974823103505
2020-03-24,69176.0,6820.0,8326.0,0.0,0.0,0.0,41.87194,12.56738,54030.0,5249.0,894.0,743.0,0.07587891754365676,0.10737448955080471,0.10894428152492669
